# Paso   Entropía   Error
0 , 101.844 , 0.0918812
1000 , 93.9067 , 0.222008
2000 , 92.3614 , 0.142309
3000 , 92.0431 , 0.0961384
4000 , 91.813 , 0.0383386
5000 , 91.813 , 0.0383386
6000 , 91.7747 , 7.40038e-015
7000 , 91.7747 , 7.40038e-015
8000 , 91.7747 , 7.40038e-015
9000 , 91.7747 , 7.40038e-015
10000 , 91.7747 , 7.40038e-015
11000 , 91.7747 , 7.40038e-015
12000 , 91.7747 , 7.40038e-015
13000 , 91.7747 , 7.40038e-015
14000 , 91.7747 , 7.40038e-015
15000 , 91.7747 , 7.40038e-015
16000 , 91.7747 , 7.40038e-015
17000 , 91.7747 , 7.40038e-015
18000 , 91.7747 , 7.40038e-015
19000 , 91.7747 , 7.40038e-015
