# Paso   Entropía   Error
0 , 148.619 , 0.0842839
1000 , 148.546 , 0.0880918
2000 , 148.82 , 0.0756084
3000 , 148.62 , 0.0909538
4000 , 148.697 , 0.089912
5000 , 148.449 , 0.0950424
6000 , 148.698 , 0.0757315
7000 , 148.661 , 0.0855791
8000 , 148.683 , 0.0944428
9000 , 148.775 , 0.080339
10000 , 148.644 , 0.0732713
11000 , 148.465 , 0.123169
12000 , 148.688 , 0.0816661
13000 , 148.514 , 0.0937923
14000 , 148.442 , 0.126369
15000 , 148.52 , 0.0912675
16000 , 148.632 , 0.0808265
17000 , 148.606 , 0.103707
18000 , 148.642 , 0.0858469
19000 , 148.577 , 0.0869902
