# Paso   Presión Izq   Presión Dcha   Error Izq   Error Dcha
1000 , 2.61 , 2.84  , 0.16074 , 0.139059
2000 , 2.49 , 2.98  , 0.15472 , 0.153728
3000 , 2.44 , 2.84  , 0.147928 , 0.152236
4000 , 2.79 , 2.8  , 0.153935 , 0.14425
5000 , 2.35 , 2.89  , 0.15267 , 0.130186
6000 , 2.4 , 2.64  , 0.13484 , 0.129895
7000 , 2.58 , 2.67  , 0.164642 , 0.145682
8000 , 2.51 , 2.72  , 0.138895 , 0.149125
9000 , 2.3 , 2.57  , 0.1439 , 0.143023
10000 , 2.7 , 2.64  , 0.151424 , 0.126746
11000 , 2.31 , 2.66  , 0.153541 , 0.14229
12000 , 2.44 , 2.82  , 0.154606 , 0.136611
13000 , 2.44 , 2.92  , 0.149288 , 0.12924
14000 , 2.52 , 2.55  , 0.141049 , 0.1424
15000 , 2.59 , 2.99  , 0.153804 , 0.153409
16000 , 2.55 , 2.77  , 0.141689 , 0.160085
17000 , 2.57 , 2.43  , 0.143727 , 0.137257
18000 , 2.46 , 2.95  , 0.137378 , 0.164148
19000 , 2.58 , 2.83  , 0.149869 , 0.148429
